,Refreshing,Runner,Baker,Counter,Regulator,Has Python,Has Whiteboard,Has Reached Balmers Peak,DNE,Type of Activity Id,Type of Movie Id,Type of GPU Id,Type of Laptop Id,Type of Toaster Id,Type of Deck Id,Type of Whale Id,Type of Star Id,Type of Dog Id,labels
59,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.2,0.4,0.3,0.3,0.1,0.2,0.1,0.0
60,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.4,0.2,0.5,0.3,0.4,0.3,0.2,0.4,0.0
61,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.5,0.2,0.3,0.3,0.3,0.5,0.2,0.4,1.0
62,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.5,0.3,0.3,0.2,0.2,0.5,0.3,0.4,0.0
63,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.2,0.2,0.5,0.3,0.2,0.3,0.2,0.4,1.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.4,0.2,0.2,0.5,0.4,0.4,0.0
65,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.4,0.2,0.3,0.2,0.3,0.1,0.3,0.1,1.0
66,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.6,0.4,0.3,0.3,0.4,0.5,0.2,0.4,1.0
67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0
68,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3,0.2,0.2,0.4,0.3,0.4,0.1,0.2,0.2,0.0
69,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2,0.2,0.3,0.3,0.2,0.4,0.1,0.3,0.1,0.0
70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.3,0.3,0.2,0.2,0.5,0.5,0.4,0.0
71,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,1.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.4,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.2,0.2,0.2,0.2,0.5,0.2,0.4,0.0
74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.4,0.3,0.3,0.2,0.4,0.5,0.3,0.4,1.0
75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.6,0.2,0.3,0.3,0.4,0.5,0.2,0.4,1.0
76,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.3,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.0
77,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.4,1.0
78,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,1.0
79,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.2,0.3,0.3,0.2,0.3,0.1,0.3,0.1,1.0
80,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3,0.3,0.2,0.5,0.3,0.2,0.5,0.2,0.4,0.0
81,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.2,0.3,1.0
82,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.6,0.5,0.2,0.3,0.3,0.1,0.2,0.1,1.0
83,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.1,0.2,0.3,0.1,0.4,0.5,0.1,0.4,0.0
84,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3,0.3,0.5,0.3,0.2,0.2,0.2,0.2,0.3,1.0
